time,accurate,cf_over_specified,cf_under_specified,cf_over_and_under_specified,errored,definder_version,audit_creation_version
1606655293.0485961,2917,799,1846,983,277,2.7.0,4
1606658958.8459747,2917,799,1846,983,277,2.7.0,4
1606662500.943501,2917,799,1846,983,277,2.7.0,4
1606666227.3460948,2917,799,1846,983,277,2.7.0,4
1606669691.79961,2917,799,1846,983,277,2.7.0,4
1606673333.303024,2917,799,1846,983,277,2.7.0,4
1606676867.6664991,2917,799,1846,983,277,2.7.0,4
1606680548.0788674,2917,799,1846,983,277,2.7.0,4
1606684061.5529578,2917,799,1846,983,277,2.7.0,4
1606687730.492381,2917,799,1846,983,277,2.7.0,4
1606691344.031669,2917,799,1846,983,277,2.7.0,4
1606695281.168143,2917,799,1846,983,277,2.7.0,4
1606699633.910704,2917,799,1846,983,277,2.7.0,4
1606702192.15018,2917,799,1846,983,277,2.7.0,4
1606705695.320823,2917,799,1846,983,277,2.7.0,4
1606709389.424197,2917,799,1846,983,277,2.7.0,4
1606712942.949842,2917,799,1846,983,277,2.7.0,4
1606716536.327735,2917,799,1846,983,277,2.7.0,4
1606720171.9719665,2917,799,1846,983,277,2.7.0,4
1606723792.2302616,2916,799,1848,982,277,2.7.0,4
1606727334.126216,2916,799,1848,982,277,2.7.0,4
1606730958.759756,2919,799,1848,982,277,2.7.0,4
1606734523.9366689,2919,799,1848,982,277,2.7.0,4
1606738248.14073,2919,799,1849,983,276,2.7.0,4
1606741716.7967334,2919,799,1849,983,276,2.7.0,4
1606745390.4997177,2919,799,1850,983,276,2.7.0,4
1606749007.0844119,2919,799,1850,983,276,2.7.0,4
1606752697.7375686,2919,799,1850,983,276,2.7.0,4
1606756569.940416,2919,799,1850,983,276,2.7.0,4
1606759752.1153746,2919,799,1852,983,276,2.7.0,4
1606763273.9858263,2919,799,1852,983,276,2.7.0,4
1606766962.906506,2919,799,1852,983,276,2.7.0,4
1606770469.8188703,2920,798,1852,983,276,2.7.0,4
1606774153.4326794,2920,798,1852,983,276,2.7.0,4
1606777741.3228245,2920,798,1853,983,275,2.7.0,4
1606781733.6867607,2920,798,1853,983,275,2.7.0,4
1606786090.9080296,2920,798,1853,983,275,2.7.0,4
1606788515.49886,2920,798,1853,983,275,2.7.0,4
1606792130.740031,2920,798,1853,983,275,2.7.0,4
1606795805.3811343,2920,798,1853,983,275,2.7.0,4
1606799330.3899164,2920,798,1853,983,275,2.7.0,4
1606802966.7419813,2920,798,1853,983,275,2.7.0,4
1606806515.7610486,2920,798,1853,983,275,2.7.0,4
1606810216.1289864,2920,798,1854,983,276,2.7.0,4
1606813819.8400784,2920,798,1854,983,276,2.7.0,4
1606817406.9611301,2921,798,1854,983,276,2.7.0,4
1606820895.7848516,2921,798,1854,983,276,2.7.0,4
1606824621.701865,2921,798,1854,983,276,2.7.0,4
1606828103.6806426,2921,798,1854,983,276,2.7.0,4
1606831763.0148551,2921,798,1854,983,276,2.7.0,4
1606835403.4322615,2921,798,1854,983,276,2.7.0,4
1606841186.2681315,2921,798,1853,984,276,2.7.0,4
1606856122.1040912,2925,798,1856,986,275,2.7.0,4
1606858197.5084746,2925,798,1856,986,275,2.7.0,4
1606860528.462702,2925,798,1856,986,275,2.7.0,4
1606864097.94788,2925,798,1856,986,275,2.7.0,4
1606868046.9918034,2925,798,1856,986,275,2.7.0,4
1606872417.758983,2925,798,1856,986,275,2.7.0,4
1606874979.9415548,2925,798,1856,986,275,2.7.0,4
1606878607.4432251,2930,803,1857,987,276,2.7.0,4
1606882253.768568,2931,803,1857,987,276,2.7.0,4
1606885811.9246697,2931,803,1857,987,276,2.7.0,4
1606889393.621096,2931,803,1857,987,276,2.7.0,4
1606892988.076577,2931,803,1856,987,277,2.7.0,4
1606896641.5706425,2931,803,1856,987,277,2.7.0,4
1606900152.9190693,2931,803,1856,987,277,2.7.0,4
1606903797.3694708,2931,803,1856,987,277,2.7.0,4
1606907371.4800005,2931,803,1856,987,277,2.7.0,4
1606911051.7697213,2931,803,1856,987,277,2.7.0,4
1606914594.8072927,2931,803,1856,987,277,2.7.0,4
1606918243.0435834,2930,803,1857,988,277,2.7.0,4
1606921784.032495,2930,803,1857,988,277,2.7.0,4
1606925798.3223972,2930,802,1857,989,277,2.7.0,4
1606929315.7899468,2930,802,1858,989,277,2.7.0,4
1606932540.448018,2930,802,1858,989,277,2.7.0,4
1606936109.2813315,2930,802,1858,989,277,2.7.0,4
1606939773.992848,2930,802,1858,989,277,2.7.0,4
1606943293.5540123,2930,802,1858,989,277,2.7.0,4
1606947017.6000926,2930,802,1858,989,277,2.7.0,4
1606950541.273641,2930,802,1858,989,277,2.7.0,4
1606954563.394371,2930,802,1858,989,277,2.7.0,4
1606958882.7522213,2930,802,1858,989,277,2.7.0,4
1606961398.7803102,2933,802,1860,989,276,2.7.0,4
1606964968.4774523,2933,802,1860,989,276,2.7.0,4
1606968608.8343463,2933,802,1860,989,276,2.7.0,4
1606972121.5800717,2933,802,1860,989,276,2.7.0,4
1606975754.8754277,2934,802,1860,989,276,2.7.0,4
1606979342.284241,2934,802,1860,989,276,2.7.0,4
1606983009.803058,2934,802,1860,989,276,2.7.0,4
1606986522.311454,2934,802,1860,989,276,2.7.0,4
1606990165.554291,2934,802,1860,989,276,2.7.0,4
1606993737.0779967,2934,802,1860,989,276,2.7.0,4
1606997511.3812072,2934,802,1860,990,275,2.7.0,4
1607000977.180607,2934,802,1860,990,275,2.7.0,4
1607004585.9580064,2934,802,1860,990,275,2.7.0,4
1607008129.6727672,2934,802,1860,990,275,2.7.0,4
1607011903.4796286,2933,802,1861,990,275,2.7.0,4
1607015524.7174537,2933,802,1861,990,275,2.7.0,4
1607019007.559906,2933,802,1860,991,275,2.7.0,4
1607022548.8992317,2933,802,1860,991,275,2.7.0,4
1607026129.611391,2933,802,1860,991,275,2.7.0,4
1607029770.4260707,2933,802,1861,991,275,2.7.0,4
1607033417.4570675,2933,802,1861,991,275,2.7.0,4
1607036987.1809084,2933,802,1861,991,275,2.7.0,4
1607040983.0876174,2934,803,1861,992,274,2.7.0,4
1607045367.441703,2934,803,1861,992,274,2.7.0,4
1607047786.0175703,2934,803,1861,992,274,2.7.0,4
1607051335.303631,2934,803,1861,992,274,2.7.0,4
1607055029.7823193,2934,803,1861,992,274,2.7.0,4
1607058581.0995467,2934,803,1861,992,274,2.7.0,4
1607062197.6099353,2934,803,1861,992,274,2.7.0,4
1607065753.7762334,2934,803,1861,992,274,2.7.0,4
1607069544.3267267,2934,803,1861,992,274,2.7.0,4
1607072965.9593542,2934,803,1861,992,274,2.7.0,4
1607076603.9263387,2934,803,1861,992,274,2.7.0,4
1607080186.7181365,2934,803,1861,992,274,2.7.0,4
1607083881.6751485,2934,803,1861,992,274,2.7.0,4
1607087359.504037,2934,803,1861,992,274,2.7.0,4
1607091045.7950084,2933,804,1861,992,274,2.7.0,4
1607094536.4178689,2933,804,1861,992,274,2.7.0,4
1607098315.092393,2933,804,1862,992,273,2.7.0,4
1607103314.862666,2933,804,1862,992,273,2.7.0,4
1607105347.9791336,2933,804,1862,992,273,2.7.0,4
1607108949.0783634,2933,805,1862,991,273,2.7.0,4
1607112520.6015794,2934,805,1863,991,273,2.7.0,4
1607116115.7872477,2934,805,1863,991,273,2.7.0,4
1607119871.6329007,2934,806,1863,991,273,2.7.0,4
1607123340.328699,2934,806,1863,991,273,2.7.0,4
1607127363.2565446,2934,806,1863,991,273,2.7.0,4
1607131855.0530593,2934,807,1863,991,273,2.7.0,4
1607134175.828455,2934,807,1864,991,273,2.7.0,4
1607137746.966747,2934,807,1864,991,273,2.7.0,4
1607141452.8034108,2934,807,1864,991,273,2.7.0,4
1607144993.7958593,2934,807,1864,991,273,2.7.0,4
1607148559.8743236,2934,807,1864,991,273,2.7.0,4
1607152183.839516,2934,807,1864,991,273,2.7.0,4
1607155820.7259986,2934,807,1864,991,273,2.7.0,4
1607159343.2367399,2934,807,1864,991,273,2.7.0,4
1607162966.6710107,2934,807,1864,991,273,2.7.0,4
1607166567.6641188,2934,807,1864,991,273,2.7.0,4
1607170257.8120656,2934,807,1864,991,273,2.7.0,4
1607173774.9176779,2934,807,1864,991,273,2.7.0,4
1607177396.7061422,2934,807,1864,991,273,2.7.0,4
1607180961.6314406,2934,807,1864,991,273,2.7.0,4
1607184676.9303946,2934,807,1864,991,273,2.7.0,4
1607188264.2003033,2934,807,1864,991,273,2.7.0,4
1607191766.6145139,2934,807,1864,991,273,2.7.0,4
1607195503.0870364,2934,807,1864,991,273,2.7.0,4
1607198953.9701753,2934,807,1864,991,273,2.7.0,4
1607202540.0452094,2934,807,1864,991,273,2.7.0,4
1607206256.4329326,2934,807,1864,993,273,2.7.0,4
1607209767.50991,2934,807,1864,993,273,2.7.0,4
1607213817.325554,2934,807,1864,994,273,2.7.0,4
1607218415.507977,2934,807,1864,994,273,2.7.0,4
1607220773.4902637,2934,807,1864,994,273,2.7.0,4
1607224137.4254854,2934,807,1864,994,273,2.7.0,4
